"lake","lake__URI","area","location","location__URI","state","state__URI"
"Barrett Pond (Carver, Massachusetts)","http://dbpedia.org/resource/Barrett_Pond_(Carver,_Massachusetts)","64749.7","Carver, Massachuseetts","http://dbpedia.org/resource/Carver,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Barrett Pond (Carver, Massachusetts)","http://dbpedia.org/resource/Barrett_Pond_(Carver,_Massachusetts)","64749.7","Carveer, Massachusettss","http://dbpedia.org/resource/Carver,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Bartlett Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Bartlett_Pond_(Plymouth,_Massachusetts)","133546.0","Plymouth, Maassachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Bartlett Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Bartlett_Pond_(Plymouth,_Massachusetts)","133546.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Basket Lake","http://dbpedia.org/resource/Basket_Lake","249286.0","Sebring, Floridaaa","http://dbpedia.org/resource/Sebring,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Bass Lake (Madera County, California)","http://dbpedia.org/resource/Bass_Lake_(Madera_County,_California)","4.72e+06","Madera County, Californiaa","http://dbpedia.org/resource/Madera_County,_California","California","http://dbpedia.org/resource/California"
"Bass Lake (Marin County, California)","http://dbpedia.org/resource/Bass_Lake_(Marin_County,_California)","30000.0","Marin CCounty, Californiaa","http://dbpedia.org/resource/Marin_County,_California","California","http://dbpedia.org/resource/California"
"Bates Pond (Carver, Massachusetts)","http://dbpedia.org/resource/Bates_Pond_(Carver,_Massachusetts)","80937.1","Carver, Massachusettts","http://dbpedia.org/resource/Carver,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Bates Pond (Carver, Massachusetts)","http://dbpedia.org/resource/Bates_Pond_(Carver,_Massachusetts)","80937.1","Carver, Massachusettss","http://dbpedia.org/resource/Carver,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Beaver Dam Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Beaver_Dam_Pond_(Plymouth,_Massachusetts)","121406.0","Plymouuth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Beaver Dam Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Beaver_Dam_Pond_(Plymouth,_Massachusetts)","121406.0","Plymouth, Massachusettsss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Belvedere Lagoon","http://dbpedia.org/resource/Belvedere_Lagoon","267093.0","Marin County, California","http://dbpedia.org/resource/Marin_County,_California","California","http://dbpedia.org/resource/California"
"Bethany Reservoir","http://dbpedia.org/resource/Bethany_Reservoir","728434.0","AAlameda County, Californiia","http://dbpedia.org/resource/Alameda_County,_California","California","http://dbpedia.org/resource/California"
"Big Lagoon (California)","http://dbpedia.org/resource/Big_Lagoon_(California)","5.94888e+06","Humboldt County, California","http://dbpedia.org/resource/Humboldt_County,_California","California","http://dbpedia.org/resource/California"
"Big Pond (Massachusetts)","http://dbpedia.org/resource/Big_Pond_(Massachusetts)","1.33546e+06","Otis, Massacchusetts","http://dbpedia.org/resource/Otis,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Big Rocky Pond","http://dbpedia.org/resource/Big_Rocky_Pond","80937.1","Plymoutth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Big Rocky Pond","http://dbpedia.org/resource/Big_Rocky_Pond","80937.1","Pllymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Big Sage Reservoir","http://dbpedia.org/resource/Big_Sage_Reservoir","2.13269e+07","Modoc Counnty, Californiaa","http://dbpedia.org/resource/Modoc_County,_California","California","http://dbpedia.org/resource/California"
"Big Sandy Pond","http://dbpedia.org/resource/Big_Sandy_Pond","542279.0","Plymouth, Massaachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Big Sandy Pond","http://dbpedia.org/resource/Big_Sandy_Pond","542279.0","Plymouth, Massachusettsss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Billington Sea","http://dbpedia.org/resource/Billington_Sea","1.0886e+06","Plymouth, Massachussetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Billington Sea","http://dbpedia.org/resource/Billington_Sea","1.0886e+06","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Black Butte Lake","http://dbpedia.org/resource/Black_Butte_Lake","1.8049e+07","Glenn  County, California","http://dbpedia.org/resource/Glenn_County,_California","California","http://dbpedia.org/resource/California"
"Black Butte Lake","http://dbpedia.org/resource/Black_Butte_Lake","1.8049e+07","Tehama County, Californiaa","http://dbpedia.org/resource/Tehama_County,_California","California","http://dbpedia.org/resource/California"
"Black Jimmy Pond","http://dbpedia.org/resource/Black_Jimmy_Pond","44515.4","Plymouth, Massaachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Black Jimmy Pond","http://dbpedia.org/resource/Black_Jimmy_Pond","44515.4","Plymouth, Massacchusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Blackmore Pond","http://dbpedia.org/resource/Blackmore_Pond","186155.0","Wareham, Massachusettss","http://dbpedia.org/resource/Wareham,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Blackmore Pond","http://dbpedia.org/resource/Blackmore_Pond","186155.0","Wareham, Massachusetts","http://dbpedia.org/resource/Wareham,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Bloody Pond (Massachusetts)","http://dbpedia.org/resource/Bloody_Pond_(Massachusetts)","396592.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Bloody Pond (Massachusetts)","http://dbpedia.org/resource/Bloody_Pond_(Massachusetts)","396592.0","Plymouuth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Blue Cypress Lake","http://dbpedia.org/resource/Blue_Cypress_Lake","2.63046e+07","Fellsmere, Floriidaa","http://dbpedia.org/resource/Fellsmere,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Blue Lake (Sebring, Florida)","http://dbpedia.org/resource/Blue_Lake_(Sebring,_Florida)","136622.0","Sebrring, Florida","http://dbpedia.org/resource/Sebring,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Boca Reservoir","http://dbpedia.org/resource/Boca_Reservoir","4e+06","Nevada County, California","http://dbpedia.org/resource/Nevada_County,_California","California","http://dbpedia.org/resource/California"
"Bonny Lake (Florida)","http://dbpedia.org/resource/Bonny_Lake_(Florida)","1.00767e+06","Laakeland, Florida","http://dbpedia.org/resource/Lakeland,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Boot Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Boot_Pond_(Plymouth,_Massachusetts)","307561.0","Plymmouth, Massachusettts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Boot Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Boot_Pond_(Plymouth,_Massachusetts)","307561.0","Plymouth, Massachussetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Bouquet Reservoir","http://dbpedia.org/resource/Bouquet_Reservoir","2.54143e+06","Los Angeles County, Californiaaa","http://dbpedia.org/resource/Los_Angeles_County,_California","California","http://dbpedia.org/resource/California"
"Bridgeport Reservoir","http://dbpedia.org/resource/Bridgeport_Reservoir","1.26464e+07","Mono County, Californiaaa","http://dbpedia.org/resource/Mono_County,_California","California","http://dbpedia.org/resource/California"
"Briggs Reservoir (Manomet, Massachusetts)","http://dbpedia.org/resource/Briggs_Reservoir_(Manomet,_Massachusetts)","113312.0","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Briggs Reservoir (Manomet, Massachusetts)","http://dbpedia.org/resource/Briggs_Reservoir_(Manomet,_Massachusetts)","113312.0","Plymouth, Maassachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Briggs Reservoir (Plymouth, Massachusetts)","http://dbpedia.org/resource/Briggs_Reservoir_(Plymouth,_Massachusetts)","68796.6","Plymouthh, Massachhusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Briggs Reservoir (Plymouth, Massachusetts)","http://dbpedia.org/resource/Briggs_Reservoir_(Plymouth,_Massachusetts)","68796.6","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Brock Reservoir","http://dbpedia.org/resource/Brock_Reservoir","1.96273e+06","Gordons Well, Californiaa","http://dbpedia.org/resource/Gordons_Well,_California","California","http://dbpedia.org/resource/California"
"Brock Reservoir","http://dbpedia.org/resource/Brock_Reservoir","1.96273e+06","Imperial County, California","http://dbpedia.org/resource/Imperial_County,_California","California","http://dbpedia.org/resource/California"
"Browning Pond","http://dbpedia.org/resource/Browning_Pond","360170.0","Oakham, Massachusettsss","http://dbpedia.org/resource/Oakham,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Browning Pond","http://dbpedia.org/resource/Browning_Pond","360170.0","Spencer, Massaachusettss","http://dbpedia.org/resource/Spencer,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Bucks Lake","http://dbpedia.org/resource/Bucks_Lake","7.39361e+06","Plumas County, Californiaaa","http://dbpedia.org/resource/Plumas_County,_California","California","http://dbpedia.org/resource/California"
"Buena Vista Lake","http://dbpedia.org/resource/Buena_Vista_Lake","6e+07","Kern County, CCalifornia","http://dbpedia.org/resource/Kern_County,_California","California","http://dbpedia.org/resource/California"
"Buena Vista Lake","http://dbpedia.org/resource/Buena_Vista_Lake","6e+07","San Joaqquin Valleyy","http://dbpedia.org/resource/San_Joaquin_Valley","California","http://dbpedia.org/resource/California"
"Buffumville Lake","http://dbpedia.org/resource/Buffumville_Lake","809371.0","Charlton, Massachusettss","http://dbpedia.org/resource/Charlton,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Calero Reservoir","http://dbpedia.org/resource/Calero_Reservoir","1.36379e+06","Santa Clara County, Californiaa","http://dbpedia.org/resource/Santa_Clara_County,_California","California","http://dbpedia.org/resource/California"
"Camanche Reservoir","http://dbpedia.org/resource/Camanche_Reservoir","3.11608e+07","San Joaquin County, Californiaaa","http://dbpedia.org/resource/San_Joaquin_County,_California","California","http://dbpedia.org/resource/California"
"Camanche Reservoir","http://dbpedia.org/resource/Camanche_Reservoir","3.11608e+07","Amador County, Californiaa","http://dbpedia.org/resource/Amador_County,_California","California","http://dbpedia.org/resource/California"
"Camanche Reservoir","http://dbpedia.org/resource/Camanche_Reservoir","3.11608e+07","CCalaveras County, Californiaa","http://dbpedia.org/resource/Calaveras_County,_California","California","http://dbpedia.org/resource/California"
"Canyon Lake (California)","http://dbpedia.org/resource/Canyon_Lake_(California)","2.1246e+06","Riverside County, Caaliforniaa","http://dbpedia.org/resource/Riverside_County,_California","California","http://dbpedia.org/resource/California"
"Castac Lake","http://dbpedia.org/resource/Castac_Lake","1.61874e+06","Lebec, Californiaa","http://dbpedia.org/resource/Lebec,_California","California","http://dbpedia.org/resource/California"
"Castac Lake","http://dbpedia.org/resource/Castac_Lake","1.61874e+06","KKern County, California","http://dbpedia.org/resource/Kern_County,_California","California","http://dbpedia.org/resource/California"
"Castle Lake (California)","http://dbpedia.org/resource/Castle_Lake_(California)","190202.0","Siskiyou County, Californiaa","http://dbpedia.org/resource/Siskiyou_County,_California","California","http://dbpedia.org/resource/California"
"Cedar Lake (California)","http://dbpedia.org/resource/Cedar_Lake_(California)","12140.6","San Bernardino County, California","http://dbpedia.org/resource/San_Bernardino_County,_California","California","http://dbpedia.org/resource/California"
"Charge Pond","http://dbpedia.org/resource/Charge_Pond","93077.7","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Charge Pond","http://dbpedia.org/resource/Charge_Pond","93077.7","Plymouth, Massachusettsss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Cherry Lake","http://dbpedia.org/resource/Cherry_Lake","6.21192e+06","Tuolumne County, Californiaa","http://dbpedia.org/resource/Tuolumne_County,_California","California","http://dbpedia.org/resource/California"
"Christina Lake (Florida)","http://dbpedia.org/resource/Christina_Lake_(Florida)","109225.0","Lakeland Highlands, Florida","http://dbpedia.org/resource/Lakeland_Highlands,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Clear Lake (California)","http://dbpedia.org/resource/Clear_Lake_(California)","1.76119e+08","Lake County, Californiaaa","http://dbpedia.org/resource/Lake_County,_California","California","http://dbpedia.org/resource/California"
"Clear Lake (Orlando, Florida)","http://dbpedia.org/resource/Clear_Lake_(Orlando,_Florida)","1.44473e+06","Orlando, Florida","http://dbpedia.org/resource/Orlando,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Clear Lake Reservoir","http://dbpedia.org/resource/Clear_Lake_Reservoir","1.04247e+08","Modoc County, California","http://dbpedia.org/resource/Modoc_County,_California","California","http://dbpedia.org/resource/California"
"Clifton Court Forebay","http://dbpedia.org/resource/Clifton_Court_Forebay","1.01171e+07","Contra Costa County, Californiaa","http://dbpedia.org/resource/Contra_Costa_County,_California","California","http://dbpedia.org/resource/California"
"College Pond","http://dbpedia.org/resource/College_Pond","214483.0","Plymouth, Massachusettsss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"College Pond","http://dbpedia.org/resource/College_Pond","214483.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Collins Lake","http://dbpedia.org/resource/Collins_Lake","3.55e+06","Yubaa County, California","http://dbpedia.org/resource/Yuba_County,_California","California","http://dbpedia.org/resource/California"
"Cooks Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Cooks_Pond_(Plymouth,_Massachusetts)","93077.7","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Cooks Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Cooks_Pond_(Plymouth,_Massachusetts)","93077.7","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Copco Lake","http://dbpedia.org/resource/Copco_Lake","4.04686e+06","Siskiyou County, Californiaa","http://dbpedia.org/resource/Siskiyou_County,_California","California","http://dbpedia.org/resource/California"
"Coyote Lake (Santa Clara County, California)","http://dbpedia.org/resource/Coyote_Lake_(Santa_Clara_County,_California)","2.56975e+06","Santa Clara County, Californiaa","http://dbpedia.org/resource/Santa_Clara_County,_California","California","http://dbpedia.org/resource/California"
"Crossman Pond","http://dbpedia.org/resource/Crossman_Pond","60702.8","Kingstton, Massachusettss","http://dbpedia.org/resource/Kingston,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Crossman Pond","http://dbpedia.org/resource/Crossman_Pond","60702.8","Kingston, Massachusetts","http://dbpedia.org/resource/Kingston,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Crowley Lake","http://dbpedia.org/resource/Crowley_Lake","2.14483e+07","Mono County, Californiaa","http://dbpedia.org/resource/Mono_County,_California","California","http://dbpedia.org/resource/California"
"Crystal Lake (Lakeland, Florida)","http://dbpedia.org/resource/Crystal_Lake_(Lakeland,_Florida)","111612.0","Lakeland, Floridaa","http://dbpedia.org/resource/Lakeland,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Crystal Lake (Newton, Massachusetts)","http://dbpedia.org/resource/Crystal_Lake_(Newton,_Massachusetts)","133546.0","Newtton, Massachusettts","http://dbpedia.org/resource/Newton,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Crystal Lake (south Winter Haven, Florida)","http://dbpedia.org/resource/Crystal_Lake_(south_Winter_Haven,_Florida)","145404.0","Winter Haven, Floriddaa","http://dbpedia.org/resource/Winter_Haven,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Crystal Springs Reservoir","http://dbpedia.org/resource/Crystal_Springs_Reservoir","5.35399e+06","San Mateo County,, Californiaa","http://dbpedia.org/resource/San_Mateo_County,_California","California","http://dbpedia.org/resource/California"
"Curlew Pond","http://dbpedia.org/resource/Curlew_Pond","174015.0","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Curlew Pond","http://dbpedia.org/resource/Curlew_Pond","174015.0","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Deer Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Deer_Pond_(Plymouth,_Massachusetts)","44515.4","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Deer Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Deer_Pond_(Plymouth,_Massachusetts)","44515.4","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Diamond Valley Lake","http://dbpedia.org/resource/Diamond_Valley_Lake","1.82109e+07","Riversidee County, California","http://dbpedia.org/resource/Riverside_County,_California","California","http://dbpedia.org/resource/California"
"Dinner Lake","http://dbpedia.org/resource/Dinner_Lake","1.69968e+06","Sebring, Florida","http://dbpedia.org/resource/Sebring,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Dodge Reservoir","http://dbpedia.org/resource/Dodge_Reservoir","1.98701e+06","Ravendale, California","http://dbpedia.org/resource/Ravendale,_California","California","http://dbpedia.org/resource/California"
"Dodge Reservoir","http://dbpedia.org/resource/Dodge_Reservoir","1.98701e+06","Lassen County, Californiaa","http://dbpedia.org/resource/Lassen_County,_California","California","http://dbpedia.org/resource/California"
"Don Pedro Reservoir","http://dbpedia.org/resource/Don_Pedro_Reservoir","5.26091e+07","Tuolumne County, Californiaaa","http://dbpedia.org/resource/Tuolumne_County,_California","California","http://dbpedia.org/resource/California"
"Donner Lake","http://dbpedia.org/resource/Donner_Lake","1.31e+06","Nevada County, Californiaaa","http://dbpedia.org/resource/Nevada_County,_California","California","http://dbpedia.org/resource/California"
"Dry Canyon Reservoir","http://dbpedia.org/resource/Dry_Canyon_Reservoir","4.45154e+06","Los Angeles County, Californiaa","http://dbpedia.org/resource/Los_Angeles_County,_California","California","http://dbpedia.org/resource/California"
"Dug Pond","http://dbpedia.org/resource/Dug_Pond","194249.0","Naatick, Massachusetts","http://dbpedia.org/resource/Natick,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Dunham Pond (Carver, Massachusetts)","http://dbpedia.org/resource/Dunham_Pond_(Carver,_Massachusetts)","182109.0","Carverr, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Dunham Pond (Carver, Massachusetts)","http://dbpedia.org/resource/Dunham_Pond_(Carver,_Massachusetts)","182109.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Eagle Lake (Florida)","http://dbpedia.org/resource/Eagle_Lake_(Florida)","2.61832e+06","Eagle Lake, Floridaa","http://dbpedia.org/resource/Eagle_Lake,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Eagle Lake (Lassen County)","http://dbpedia.org/resource/Eagle_Lake_(Lassen_County)","9.71246e+07","Lassen County, Californiaa","http://dbpedia.org/resource/Lassen_County,_California","California","http://dbpedia.org/resource/California"
"East Head Reservoir","http://dbpedia.org/resource/East_Head_Reservoir","372311.0","Carver,, Massachusettss","http://dbpedia.org/resource/Carver,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"East Head Reservoir","http://dbpedia.org/resource/East_Head_Reservoir","372311.0","Plymouth, Massachusetttss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"East Head Reservoir","http://dbpedia.org/resource/East_Head_Reservoir","372311.0","Carver, Massachusettsss","http://dbpedia.org/resource/Carver,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"East Head Reservoir","http://dbpedia.org/resource/East_Head_Reservoir","372311.0","Plymouth, Massachhusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Eastman Lake","http://dbpedia.org/resource/Eastman_Lake","7.2034e+06","Madera County, California","http://dbpedia.org/resource/Madera_County,_California","California","http://dbpedia.org/resource/California"
"Eastman Lake","http://dbpedia.org/resource/Eastman_Lake","7.2034e+06","Mariposa County, Californiaa","http://dbpedia.org/resource/Mariposa_County,_California","California","http://dbpedia.org/resource/California"
"Edward Medard Park and Reservoir","http://dbpedia.org/resource/Edward_Medard_Park_and_Reservoir","3.11608e+06","Plant City, Floridaaa","http://dbpedia.org/resource/Plant_City,_Florida","Florida","http://dbpedia.org/resource/Florida"
"Elbow Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Elbow_Pond_(Plymouth,_Massachusetts)","64749.7","Plymouth, Massachusettss","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
