"State/Province","State/Province__URI","Lake Name","Lake Name__URI","File Size"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Nottely Lake **","http://dbpedia.org/resource/Lake_Nottely","535 KB"
"Georgiaa","http://dbpedia.org/resource/Georgia_(U.S._state)","Oconee, Lake","http://dbpedia.org/resource/Lake_Oconee","968 KB"
"Georgiaa","http://dbpedia.org/resource/Georgia_(U.S._state)","Sinclair, Lakee","http://dbpedia.org/resource/Lake_Sinclair","991 KB"
"Georgiaa","http://dbpedia.org/resource/Georgia_(U.S._state)","Sydney Lanier, Lakee","http://dbpedia.org/resource/Lake_Lanier","2,745 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Tobesofkee, Lake *","http://dbpedia.org/resource/Lake_Tobesofkee","538 KB"
"Illinoiss","http://dbpedia.org/resource/Illinois_(state)","Clinton Lakee","http://dbpedia.org/resource/Clinton_Lake_(Illinois)","597 KB"
"Kansass","http://dbpedia.org/resource/Kansas_(state)","Big Hill Lake * (updated 01/23/2006))","http://dbpedia.org/resource/Big_Hill_Lake","373 KB"
"Kansass","http://dbpedia.org/resource/Kansas_(state)","Coffey County Lakee","","274 KB"
"Kanssas","http://dbpedia.org/resource/Kansas_(state)","Pomona Lakee","","335 KB"
"KKansas","http://dbpedia.org/resource/Kansas_(state)","Tuttle Creek Lakee","http://dbpedia.org/resource/Tuttle_Creek_Lake","576 KB"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","Laurel River Lake","http://dbpedia.org/resource/Laurel_River_Lake","985 KB"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","Taylorsville Lakee","http://dbpedia.org/resource/Taylorsville_Lake","499 KB"
"Louisianaa","http://dbpedia.org/resource/Louisiana_(state)","Caney Creek Reservoir **","","308 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Cotile Lake * Also includes Kincaid Reservoir, LA and Lake Rodemacher, LAA","","519 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","D'Arbonne, Lakee","http://dbpedia.org/resource/Lake_D’Arbonne","388 KB"
"Louisianna","http://dbpedia.org/resource/Louisiana_(state)","Kepler Creek Lake **","","292 KB"
"Louuisiana","http://dbpedia.org/resource/Louisiana_(state)","Kincaid Reservoir Also inclludes Cotile Lake, LA and Lake Rodemacher, LA","","519 KB"
"Louisianaa","http://dbpedia.org/resource/Louisiana_(state)","Rodemacher, Lake * Also includes Cotile Lake, LA and Kincaid Reservoir, LAA","","519 KB"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Quabbin Reservoirr","http://dbpedia.org/resource/Quabbin_Reservoir","687 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Fourtown Lakee","","216 KB"
"Minnesotaa","http://dbpedia.org/resource/Minnesota_(state)","Gull Laake","http://dbpedia.org/resource/Gull_Lake_(Cass_County,_Minnesota)","526 KB"
"Minnesotaa","http://dbpedia.org/resource/Minnesota_(state)","Moose Lake","http://dbpedia.org/resource/Moose_Lake,_Minnesota","225 KB"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Arkabutla Lake","http://dbpedia.org/resource/Arkabutla_Lake","380 KB"
"Mississipppi","http://dbpedia.org/resource/Mississippi_(state)","Enid Lakee","http://dbpedia.org/resource/Enid_Lake","532 KB"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Okatibbee Lake **","","544 KB"
"Missourii","http://dbpedia.org/resource/Missouri_(state)","Truman Reservoirr","http://dbpedia.org/resource/Truman_Reservoir","1,322 KB"
"Montana","http://dbpedia.org/resource/Montana_(state)","Elwell, Lake","http://dbpedia.org/resource/Lake_Elwell","571 KB"
"Nebraska","http://dbpedia.org/resource/Nebraska_(state)","Harlan County Lakee","http://dbpedia.org/resource/Harlan_County_Reservoir","286 KB"
"Nevada","http://dbpedia.org/resource/Nevada_(state)","Chimney Reservoirr","","71 KB"
"Nevadaa","http://dbpedia.org/resource/Nevada_(state)","Las Vegas, Lakee","http://dbpedia.org/resource/Lake_Las_Vegas","483 KB"
"New Jerseyy","http://dbpedia.org/resource/New_Jersey_(state)","Merrill Creek Reservoir","http://dbpedia.org/resource/Merrill_Creek_Reservoir","678 KB"
"New Mexicoo","http://dbpedia.org/resource/New_Mexico_(state)","Abiquiu Reservoirr","http://dbpedia.org/resource/Abiquiu_Lake","298 KB"
"New York","http://dbpedia.org/resource/New_York_(state)","Onondaga Lakee","http://dbpedia.org/resource/Onondaga_Lake","704 KB"
"North Carolinaa","http://dbpedia.org/resource/North_Carolina_(state)","Faalls Lake","http://dbpedia.org/resource/Falls_Lake","1,236 KB"
"Noorth Carolina","http://dbpedia.org/resource/North_Carolina_(state)","James, Lake * NEW","http://dbpedia.org/resource/Lake_James","873 KB"
"North Carolina","http://dbpedia.org/resource/North_Carolina_(state)","Wyylie, Lake *","http://dbpedia.org/resource/Lake_Wylie","1,519 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Acton Lake","","442 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Alum Creek Lake Also includes Delawarre Lake, OH and Hoover Reservoir, OH","http://dbpedia.org/resource/Alum_Creek_Lake","1,667 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Atwoood Lake Also includes Leesville Lake, OH","http://dbpedia.org/resource/Atwood_Lake","518 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Barnesville Lake","","368 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Belmont Lake","http://dbpedia.org/resource/Belmont_Lake_State_Park","411 KB"
"Ohiio","http://dbpedia.org/resource/Ohio_(state)","Burr Oak Lakee","http://dbpedia.org/resource/Burr_Oak_State_Park","389 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Charles Mill Lakee","http://dbpedia.org/resource/Charles_Mill_Lake","339 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","CJ Brown Reservoir Also includes CClark Lake, OH","","661 KB"
"Ohiio","http://dbpedia.org/resource/Ohio_(state)","Cllark Lake Also includes CJ Brown Reservoir, OH","","661 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Deer Creek Lake","","391 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Delaware Lake Also includes Alum Creek Lake, OH and Hoover Reservoir,  OH","","1,667 KB"
"OOhio","http://dbpedia.org/resource/Ohio_(state)","Hoover Reservoir Also includes Alum Creek Lake, OH and Delawaare Lake, OH","http://dbpedia.org/resource/Hoover_Dam_(Ohio)","1,667 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Indian Lakee","http://dbpedia.org/resource/Indian_Lake_(Ohio)","557 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Knox Lakee","","346 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","LaDue Reservoir Also includes Punderson Lake, OHH","http://dbpedia.org/resource/LaDue_Reservoir","383 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","LaSuAn Lake","","293 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Leesville Lake Also includes Atwood Lake, OH","http://dbpedia.org/resource/Leesville_Lake_(Ohio)","518 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Paint Creek Lakke Also includes Rocky Fork Lake, OH","","521 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Punderson Lake Also includes LaDuee Reservoir, OH","","383 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Rocky Fork Lake Also includes Paint Creek Lake, OHH","","522 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Ross Lakee","","460 KB"
"OOhio","http://dbpedia.org/resource/Ohio_(state)","Snowden, Lakee","http://dbpedia.org/resource/Lake_Snowden","558 KB"
"Ohio","http://dbpedia.org/resource/Ohio_(state)","Stonelick Lakee","http://dbpedia.org/resource/Stonelick_State_Park","373 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Michael J Kirwan Reservoirr","","741 KB"
"Ohioo","http://dbpedia.org/resource/Ohio_(state)","Mosquito Creek Lakee","","668 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Altus Lugert Lakee","http://dbpedia.org/resource/Lake_Altus-Lugert","333 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Arbuckle Reservvoir","http://dbpedia.org/resource/Lake_of_the_Arbuckles","581 KB"
"OOklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Arcadia Lakee","http://dbpedia.org/resource/Arcadia_Lake_(Oklahoma)","628 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Atoka Reservoir * Also includes McGee Creek Reservoir, OKK","http://dbpedia.org/resource/Lake_Atoka_Reservoir","504 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Birchh Lake","http://dbpedia.org/resource/Birch_Lake_(Oklahoma)","272 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Broken Bow Lake","http://dbpedia.org/resource/Broken_Bow_Lake","477 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Canton Lake","http://dbpedia.org/resource/Canton_Lake_(Oklahoma)","276 KB"
"Oklaahoma","http://dbpedia.org/resource/Oklahoma_(state)","Copan Lakee","","365 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Drripping Springs Lake","","260 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Eucha, Lake","http://dbpedia.org/resource/Lake_Eucha","261 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Eufaula Lake","http://dbpedia.org/resource/Eufaula_Lake","1,744 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Fort CCobb Reservoir","http://dbpedia.org/resource/Fort_Cobb_Reservoir","322 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Foss Lakee","http://dbpedia.org/resource/Foss_Reservoir","445 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Frederick Lake","http://dbpedia.org/resource/William_Frederick_Lake_Price","191 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Hefner, Lakke","http://dbpedia.org/resource/Lake_Hefner","493 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Hulah Lakee","http://dbpedia.org/resource/Hulah_Lake_(Oklahoma)","287 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Hugo Lake","http://dbpedia.org/resource/Hugo_Lake","600 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Kaw lake","http://dbpedia.org/resource/Kaw_Lake","639 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Kerr Reserrvoir","http://dbpedia.org/resource/Robert_S._Kerr_Reservoir","1,324 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Keystone Lake *","http://dbpedia.org/resource/Keystone_Lake","1,491 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Konawa Reservoir","http://dbpedia.org/resource/Konawa_Reservoir","263 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","McGee Creek Reservoir (updated 06/08/2005) Also includes Atoka Reservoir, OK","http://dbpedia.org/resource/McGee_Creek_Reservoir","504 KB"
"Okllahoma","http://dbpedia.org/resource/Oklahoma_(state)","Oologah Lake * (updated 08/16/2004))","http://dbpedia.org/resource/Oologah_Lake","974 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Overholser, Lake","http://dbpedia.org/resource/Lake_Overholser","571 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Pine Creek Lakee","http://dbpedia.org/resource/Pine_Creek_Lake","351 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","RC Longmire, Lakee","","252 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Sardis Lakee","http://dbpedia.org/resource/Sardis_Lake_(Oklahoma)","428 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Skiatook Lake * (updated 08/16/2004))","http://dbpedia.org/resource/Skiatook_Lake","788 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Sooner Lake","http://dbpedia.org/resource/Sooner_Lake","305 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Spavinaw Lakee","http://dbpedia.org/resource/Spavinaw_Water_Project","251 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Stanley Drapeer Lake","http://dbpedia.org/resource/Lake_Stanley_Draper","1,513 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Tenkiller Lakke","http://dbpedia.org/resource/Tenkiller_Ferry_Lake","627 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Thunderbird, Lake","http://dbpedia.org/resource/Lake_Thunderbird","457 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Tom Steed Reservoirr","http://dbpedia.org/resource/Tom_Steed_Reservoir","254 KB"
"Oklahomaa","http://dbpedia.org/resource/Oklahoma_(state)","Webbers Falls Reservoirr","http://dbpedia.org/resource/Webbers_Falls_Lake","1,008 KB"
"Oklahoma","http://dbpedia.org/resource/Oklahoma_(state)","Wes Watkins Reservoir","http://dbpedia.org/resource/Wes_Watkins_Reservoir","468 KB"
"Oregon","http://dbpedia.org/resource/Oregon_(state)","Simtustus, Lake * Also includes Lake Billy Chinook, ORR","","670 KB"
"Oregonn","http://dbpedia.org/resource/Oregon_(state)","Wickiup Resservoir","http://dbpedia.org/resource/Wickiup_Reservoir","352 KB"
"Pennsylvaniaa","http://dbpedia.org/resource/Pennsylvania_(state)","Pittsburgh Rivers Shows navigation chart info for the Allegheny, Ohio, and Monongahela Rivers in the Pittsburgh areaa","","4,559 KB"
"South Caarolina","http://dbpedia.org/resource/South_Carolina_(state)","Keowee, Lake","http://dbpedia.org/resource/Lake_Keowee","1,504 KB"
"South Carolinaa","http://dbpedia.org/resource/South_Carolina_(state)","Wylie, Lakke *","http://dbpedia.org/resource/Lake_Wylie","1,519 KB"
"South Dakota","http://dbpedia.org/resource/South_Dakota_(state)","Big Stone Lakee","http://dbpedia.org/resource/Big_Stone_Lake","323 KB"
"TTennessee","http://dbpedia.org/resource/Tennessee_(state)","Fort Loudoun Lake (updated 06/07/2004))","http://dbpedia.org/resource/Fort_Loudoun_Lake","2,313 KB"
"Tennesseee","http://dbpedia.org/resource/Tennessee_(state)","J Percy Priest Reservoir (updated 06/07/2004))","http://dbpedia.org/resource/Percy_Priest_Lake","1,499 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Alan Henry  Reservoir *","http://dbpedia.org/resource/Lake_Alan_Henry","224 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Alvarado Park Lakee","http://dbpedia.org/resource/Alvarado_Park_Lake","311 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Amistad, Lake **","http://dbpedia.org/resource/Amistad_Reservoir","1,619 KB"
"Texaas","http://dbpedia.org/resource/Texas_(state)","Arrrowhead, Lake","http://dbpedia.org/resource/Lake_Arrowhead_Reservoir","481 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Bastrop, Lake **","http://dbpedia.org/resource/Lake_Bastrop","309 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Baylor Creek Reservoir *","","240 KB"
"Teexas","http://dbpedia.org/resource/Texas_(state)","Belton Lake Also includes Stillhouse Hollow Lake, TX","http://dbpedia.org/resource/Belton_Lake","1,403 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Brady Creek Reservoir **","http://dbpedia.org/resource/Brady_Creek_Reservoir","285 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Brandy Branch Reservoir *","","256 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Bridgeport, Lakee","http://dbpedia.org/resource/Lake_Bridgeport_(Texas)","565 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Buffalo Creek Reservoir **","http://dbpedia.org/resource/Buffalo_Creek_Reservoir","228 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Casa Blanca, Lake **","http://dbpedia.org/resource/Lake_Casa_Blanca","421 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Cedar Creek Reservoir *","http://dbpedia.org/resource/Cedar_Creek_Reservoir_(Texas)","941 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Cherokee, Lakee","http://dbpedia.org/resource/Cherokee_Lake","408 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Clyde, Lakee","http://dbpedia.org/resource/H._B._C._Lake","239 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Coleman, Lakee","","184 KB"
"Teexas","http://dbpedia.org/resource/Texas_(state)","Cooper Lake","http://dbpedia.org/resource/Jim_Chapman_Lake","363 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Corpus Christi, Lake","http://dbpedia.org/resource/Lake_Corpus_Christi","684 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","E VV Spence, Lake *","http://dbpedia.org/resource/E.V._Spence_Reservoir","363 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Eagle Mountaiin Lake","http://dbpedia.org/resource/Eagle_Mountain_Lake","525 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Georgetown, Lake","http://dbpedia.org/resource/Lake_Georgetown","412 KB"
"Texaas","http://dbpedia.org/resource/Texas_(state)","Gibbons Creek Reservoirr","http://dbpedia.org/resource/Gibbons_Creek_Reservoir","347 KB"
"TTexas","http://dbpedia.org/resource/Texas_(state)","Gladewater, Lakee","","519 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Granbury, Lake  *","http://dbpedia.org/resource/Lake_Granbury","667 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Greenbelt Reservoirr","","248 KB"
"Teexas","http://dbpedia.org/resource/Texas_(state)","Hawkins, Lake **","","282 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Holbrook, Lake * Also includes Lake Fork Reservoir, TX and Lake Quitman, TXX","http://dbpedia.org/resource/Lake_Holbrook_(Texas)","981 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Jacksonville, Lake **","","385 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Kickapoo, Lakee","http://dbpedia.org/resource/Lake_Kickapoo","254 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Lake Fork Reservoir * (updated 05/02/2005) Also includes Lake Holbrook, TX and Lake Quitman, TX","http://dbpedia.org/resource/Lake_Fork_Reservoir","981 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Limestone, Lakee","http://dbpedia.org/resource/Lake_Limestone","382 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Lost Creek Lake **","http://dbpedia.org/resource/Lost_Creek_Lake","258 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Lyndon B Johnson, Lake **","http://dbpedia.org/resource/Lake_Lyndon_B._Johnson","715 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","MacKenzie Reservoir **","","169 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","McQueeney, Lake *","http://dbpedia.org/resource/Lake_McQueeney","428 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Mexia,  Lake","","260 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Millers Crreek Reservoir *","","186 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Nacogdoches, Lake","","260 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Nasworthy, Lake * Also includes Twin Buttes Reservoir, TXX","http://dbpedia.org/resource/Lake_Nasworthy","571 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Navarro Mills  Lake","","398 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Nocona, Lake","http://dbpedia.org/resource/Lake_Nocona,_Texas","274 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","O' the Pines, Lake (updated on 06/07/2004))","http://dbpedia.org/resource/Lake_O'_the_Pines","858 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Pinkston, Lake *","","181 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Quitman, Lake * Also includes Lake Fork Reservoir, TX and Lake Holbrook, TX","","981 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Palo Pinto Lake **","","208 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Pat Maayse Lake","http://dbpedia.org/resource/Pat_Mayse_Lake","272 KB"
"Teexas","http://dbpedia.org/resource/Texas_(state)","Red Bluff Reservoir *","http://dbpedia.org/resource/Red_Bluff_Reservoir","177 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Richland Chambers Reservooir","http://dbpedia.org/resource/Richland-Chambers_Reservoir","817 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Sheldon Reservoir **","http://dbpedia.org/resource/Sheldon_Reservoir","1,221 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Somerville Lake","http://dbpedia.org/resource/Somerville_Lake","421 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Stillhouse Hollow Lake Also includes Belton Lake, TXX","http://dbpedia.org/resource/Stillhouse_Hollow_Lake","1,403 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Texana, Lake","http://dbpedia.org/resource/Lake_Texana","579 KB"
"Teexas","http://dbpedia.org/resource/Texas_(state)","Tradinghouse Creek Reservoir","","478 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Twin Buttes Reservoir Also includes Lake Nasworthy, TXX","http://dbpedia.org/resource/Twin_Buttes_Reservoir","571 KB"
"Texxas","http://dbpedia.org/resource/Texas_(state)","Tyler, Lakee","http://dbpedia.org/resource/Le_Sueur_County,_Minnesota","620 KB"
"Texas","http://dbpedia.org/resource/Texas_(state)","Wacoo Lake","http://dbpedia.org/resource/Lake_Waco","663 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Weatherford, Lake","","355 KB"
"Teexas","http://dbpedia.org/resource/Texas_(state)","Welsh, Lakee","","268 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","White River Reservoirr","http://dbpedia.org/resource/White_River_(Texas)","105 KB"
"Texass","http://dbpedia.org/resource/Texas_(state)","Wright Patman Lake","http://dbpedia.org/resource/Wright_Patman_Lake","647 KB"
"Utaah","http://dbpedia.org/resource/Utah_(state)","Jordanelle Reservoiir","http://dbpedia.org/resource/Jordanelle_Reservoir","578 KB"
